    49;	20200310124222_630;	00003;00185;00185;00023;02790;02908;01286;00926;00645;30873;21262;01492!;	52;	3;	3;	1;	154;
    50;	20200310124222_680;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	42;	3;	3;	1;	154;
    51;	20200310124222_730;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	33;	2;	3;	1;	154;
    52;	20200310124222_780;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	50;	2;	3;	1;	154;
    53;	20200310124222_830;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	53;	3;	3;	1;	155;
    54;	20200310124222_880;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	48;	2;	3;	1;	155;
    55;	20200310124222_931;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	38;	3;	3;	1;	155;
    56;	20200310124222_980;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	56;	3;	3;	1;	155;
    57;	20200310124223_030;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	36;	3;	3;	1;	156;
    58;	20200310124223_081;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	41;	3;	3;	1;	155;
    59;	20200310124223_130;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	42;	3;	3;	1;	155;
    60;	20200310124223_180;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	52;	3;	3;	1;	155;
    61;	20200310124223_231;	00003;00186;00186;00023;02789;02382;00540;00948;00666;30958;21319;01509!;	44;	3;	3;	1;	156;
    62;	20200310124223_280;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	41;	3;	3;	1;	155;
    63;	20200310124223_330;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	48;	3;	3;	1;	156;
    64;	20200310124223_380;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	48;	3;	3;	1;	155;
    65;	20200310124223_430;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	40;	3;	3;	1;	156;
    66;	20200310124223_481;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	48;	2;	3;	1;	156;
    67;	20200310124223_531;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	42;	3;	3;	1;	156;
    68;	20200310124223_581;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	39;	2;	3;	1;	155;
    69;	20200310124223_631;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	44;	2;	3;	1;	156;
    70;	20200310124223_681;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	46;	3;	3;	1;	156;
    71;	20200310124223_731;	00003;00187;00187;00023;02785;03409;00849;00545;00906;30707;21130;01409!;	51;	3;	3;	1;	156;
    72;	20200310124223_780;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	47;	2;	3;	1;	156;
    73;	20200310124223_831;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	43;	3;	3;	1;	156;
    74;	20200310124223_881;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	46;	3;	3;	1;	156;
    75;	20200310124223_930;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	38;	3;	3;	1;	156;
    76;	20200310124223_981;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	42;	2;	3;	1;	156;
    77;	20200310124224_030;	00003;00187;00187;00023;02786;03164;00298;00729;01029;30869;21236;01455!;	44;	3;	3;	1;	156;
